sku_id,sku_name,category,subcategory,launch_date,mrp,cost_price,is_active,pack_size
SKU0001,Haircare Shampoo Variant 1,Haircare,Shampoo,2022-09-01,232.0,78.0,True,50ml
SKU0002,Haircare Shampoo Variant 2,Haircare,Shampoo,2023-05-25,967.0,277.0,True,30 tablets
SKU0003,Haircare Shampoo Variant 3,Haircare,Shampoo,2020-11-11,929.0,393.0,True,1kg
SKU0004,Haircare Hair Oil Variant 4,Haircare,Hair Oil,2023-01-10,1251.0,352.0,True,250g
SKU0005,Haircare Hair Oil Variant 5,Haircare,Hair Oil,2022-01-12,401.0,189.0,True,500g
SKU0006,Haircare Shampoo Variant 6,Haircare,Shampoo,2022-06-09,666.0,232.0,True,1kg
SKU0007,Haircare Shampoo Variant 7,Haircare,Shampoo,2020-10-28,1464.0,521.0,True,60 capsules
SKU0008,Haircare Hair Oil Variant 8,Haircare,Hair Oil,2023-08-31,950.0,400.0,True,200ml
SKU0009,Haircare Shampoo Variant 9,Haircare,Shampoo,2021-10-15,1311.0,594.0,True,250g
SKU0010,Haircare Conditioner Variant 10,Haircare,Conditioner,2022-06-04,680.0,219.0,True,50ml
SKU0011,Haircare Conditioner Variant 11,Haircare,Conditioner,2021-04-30,893.0,294.0,True,30 tablets
SKU0012,Haircare Conditioner Variant 12,Haircare,Conditioner,2023-08-10,1089.0,488.0,True,30ml
SKU0013,Haircare Hair Oil Variant 13,Haircare,Hair Oil,2020-09-27,721.0,211.0,True,250g
SKU0014,Haircare Conditioner Variant 14,Haircare,Conditioner,2021-05-07,1051.0,377.0,True,100ml
SKU0015,Haircare Conditioner Variant 15,Haircare,Conditioner,2021-07-08,1167.0,453.0,True,500g
SKU0016,Haircare Hair Oil Variant 16,Haircare,Hair Oil,2021-01-23,484.0,232.0,True,30ml
SKU0017,Haircare Shampoo Variant 17,Haircare,Shampoo,2021-07-21,398.0,124.0,True,500g
SKU0018,Haircare Hair Mask Variant 18,Haircare,Hair Mask,2022-07-06,974.0,364.0,False,30ml
SKU0019,Haircare Shampoo Variant 19,Haircare,Shampoo,2022-06-04,1085.0,420.0,True,250g
SKU0020,Haircare Shampoo Variant 20,Haircare,Shampoo,2023-11-26,581.0,181.0,False,200ml
SKU0021,Haircare Conditioner Variant 21,Haircare,Conditioner,2022-03-31,859.0,259.0,True,30 tablets
SKU0022,Haircare Conditioner Variant 22,Haircare,Conditioner,2020-11-23,398.0,172.0,False,30 tablets
SKU0023,Haircare Shampoo Variant 23,Haircare,Shampoo,2023-04-17,978.0,369.0,False,200ml
SKU0024,Haircare Conditioner Variant 24,Haircare,Conditioner,2023-06-24,274.0,125.0,True,1kg
SKU0025,Haircare Shampoo Variant 25,Haircare,Shampoo,2023-03-20,1470.0,568.0,True,1kg
SKU0026,Haircare Conditioner Variant 26,Haircare,Conditioner,2021-07-19,544.0,247.0,False,30 tablets
SKU0027,Haircare Conditioner Variant 27,Haircare,Conditioner,2021-10-29,1126.0,405.0,True,30 tablets
SKU0028,Haircare Hair Mask Variant 28,Haircare,Hair Mask,2022-01-09,356.0,116.0,True,30 tablets
SKU0029,Haircare Conditioner Variant 29,Haircare,Conditioner,2023-08-04,964.0,271.0,True,30ml
SKU0030,Haircare Hair Oil Variant 30,Haircare,Hair Oil,2021-03-13,291.0,95.0,True,100ml
SKU0031,Haircare Hair Mask Variant 31,Haircare,Hair Mask,2021-08-21,515.0,193.0,True,50ml
SKU0032,Haircare Hair Mask Variant 32,Haircare,Hair Mask,2023-08-14,660.0,239.0,True,50ml
SKU0033,Haircare Shampoo Variant 33,Haircare,Shampoo,2023-04-23,722.0,251.0,True,150ml
SKU0034,Haircare Hair Mask Variant 34,Haircare,Hair Mask,2021-04-29,381.0,121.0,True,50ml
SKU0035,Haircare Hair Mask Variant 35,Haircare,Hair Mask,2023-05-16,1249.0,564.0,True,30 tablets
SKU0036,Haircare Shampoo Variant 36,Haircare,Shampoo,2022-08-05,1459.0,679.0,True,1kg
SKU0037,Haircare Hair Mask Variant 37,Haircare,Hair Mask,2023-08-04,477.0,172.0,True,30ml
SKU0038,Haircare Hair Mask Variant 38,Haircare,Hair Mask,2021-05-15,544.0,238.0,True,30 tablets
SKU0039,Haircare Hair Mask Variant 39,Haircare,Hair Mask,2023-08-05,400.0,136.0,True,30 tablets
SKU0040,Haircare Shampoo Variant 40,Haircare,Shampoo,2021-03-31,1171.0,341.0,True,30 tablets
SKU0041,Haircare Conditioner Variant 41,Haircare,Conditioner,2022-11-17,273.0,104.0,True,50ml
SKU0042,Haircare Conditioner Variant 42,Haircare,Conditioner,2020-09-22,724.0,339.0,True,60 capsules
SKU0043,Haircare Shampoo Variant 43,Haircare,Shampoo,2020-10-01,1004.0,365.0,True,200ml
SKU0044,Haircare Conditioner Variant 44,Haircare,Conditioner,2022-06-07,1070.0,367.0,True,200ml
SKU0045,Haircare Hair Mask Variant 45,Haircare,Hair Mask,2023-07-07,610.0,263.0,True,60 capsules
SKU0046,Haircare Shampoo Variant 46,Haircare,Shampoo,2022-06-07,294.0,95.0,True,250g
SKU0047,Haircare Shampoo Variant 47,Haircare,Shampoo,2023-01-13,1342.0,475.0,True,30 tablets
SKU0048,Skincare Moisturizer Variant 48,Skincare,Moisturizer,2020-12-14,994.0,475.0,True,30 tablets
SKU0049,Skincare Moisturizer Variant 49,Skincare,Moisturizer,2023-03-02,1410.0,424.0,True,50ml
SKU0050,Skincare Serum Variant 50,Skincare,Serum,2021-12-30,553.0,222.0,True,200ml
SKU0051,Skincare Sunscreen Variant 51,Skincare,Sunscreen,2023-08-20,525.0,242.0,True,500g
SKU0052,Skincare Moisturizer Variant 52,Skincare,Moisturizer,2023-03-10,256.0,89.0,True,200ml
SKU0053,Skincare Serum Variant 53,Skincare,Serum,2021-07-10,1163.0,454.0,True,50ml
SKU0054,Skincare Face Wash Variant 54,Skincare,Face Wash,2023-01-31,1428.0,597.0,True,250g
SKU0055,Skincare Serum Variant 55,Skincare,Serum,2021-11-16,758.0,219.0,True,30ml
SKU0056,Skincare Moisturizer Variant 56,Skincare,Moisturizer,2023-05-06,472.0,156.0,True,30 tablets
SKU0057,Skincare Sunscreen Variant 57,Skincare,Sunscreen,2022-08-05,1465.0,630.0,True,100ml
SKU0058,Skincare Sunscreen Variant 58,Skincare,Sunscreen,2022-01-21,231.0,99.0,True,500g
SKU0059,Skincare Serum Variant 59,Skincare,Serum,2023-04-25,546.0,239.0,True,30ml
SKU0060,Skincare Sunscreen Variant 60,Skincare,Sunscreen,2021-05-04,488.0,216.0,True,150ml
SKU0061,Skincare Serum Variant 61,Skincare,Serum,2022-01-29,230.0,73.0,True,50ml
SKU0062,Skincare Moisturizer Variant 62,Skincare,Moisturizer,2020-11-29,655.0,250.0,True,30ml
SKU0063,Skincare Face Wash Variant 63,Skincare,Face Wash,2022-06-07,1339.0,445.0,True,60 capsules
SKU0064,Skincare Sunscreen Variant 64,Skincare,Sunscreen,2021-06-22,648.0,283.0,True,30 tablets
SKU0065,Skincare Face Wash Variant 65,Skincare,Face Wash,2022-06-29,700.0,277.0,True,500g
SKU0066,Skincare Face Wash Variant 66,Skincare,Face Wash,2022-10-25,875.0,386.0,True,50ml
SKU0067,Skincare Moisturizer Variant 67,Skincare,Moisturizer,2023-03-22,1009.0,416.0,True,200ml
SKU0068,Skincare Moisturizer Variant 68,Skincare,Moisturizer,2022-04-06,1066.0,368.0,True,150ml
SKU0069,Skincare Sunscreen Variant 69,Skincare,Sunscreen,2022-12-11,1063.0,378.0,True,200ml
SKU0070,Skincare Sunscreen Variant 70,Skincare,Sunscreen,2022-04-24,911.0,255.0,True,60 capsules
SKU0071,Skincare Moisturizer Variant 71,Skincare,Moisturizer,2022-09-21,803.0,296.0,True,100ml
SKU0072,Skincare Face Wash Variant 72,Skincare,Face Wash,2022-01-15,568.0,234.0,True,150ml
